,municipio,area_km2
0,Abadia dos Dourados,0.13607345655260097
1,Andradas,0.03062403992228485
2,Araguari,1.5356925067980336
3,Araporã,3.3076556230904828
4,Arapuá,0.07583962373832315
5,Araxá,0.6884154298698584
6,Araçaí,0.33743950611568563
7,Arcos,0.0674754681592233
8,Arinos,1.7034860383288817
9,Augusto de Lima,1.0424882543352965
10,Bambuí,0.8637431966771241
11,Bocaiúva,3.2250877025311517
12,Bom Sucesso,0.04836939795970979
13,Bonfinópolis de Minas,4.321300261306449
14,Bonito de Minas,0.11729287855936665
15,Borda da Mata,0.028829175397944162
16,Botelhos,0.01912159144300347
17,Botumirim,0.2524042269383889
18,Brasilândia de Minas,1.2883706362883922
19,Brasília de Minas,0.3311792354863128
20,Bueno Brandão,0.017588074497266733
21,Buritis,5.4449911703675
22,Buritizeiro,1.9894782329645924
23,Cabeceira Grande,3.332805627179786
24,Cachoeira da Prata,0.024552745637666865
25,Cachoeira de Pajeú,0.022093850031892653
26,Camacho,0.03802679574339495
27,Camanducaia,0.017902925915049578
28,Cambuí,0.015319968700532881
29,Campanha,0.020345018895073036
30,Campina Verde,3.3595091238293495
31,Campo Azul,0.07311879687972495
32,Campo Florido,3.9442576974552246
33,Campos Altos,0.22442957667700378
34,Campos Gerais,0.059522021724447614
35,Cana Verde,0.10453253444600914
36,Candeias,0.059791694055309666
37,Capetinga,0.050018141917715433
38,Capinópolis,2.56424237271793
39,Capitão Enéas,2.5079083761242495
40,Caraí,0.027404098950062964
41,Carbonita,1.673933559170086
42,Careaçu,0.06965567097875425
43,Carmo da Cachoeira,0.02095969903439953
44,Carmo do Paranaíba,0.02636088203458155
45,Carmo do Rio Claro,0.07998557289616669
46,Carneirinho,1.0977681756157913
47,Carvalhos,0.02972726507013394
48,Cascalho Rico,0.02053149093324137
49,Chapada Gaúcha,0.9194504980639707
50,Claro dos Poções,0.9071719900614782
51,Comendador Gomes,0.3660693136024331
52,Comercinho,0.023535927923451598
53,Conquista,1.892807623088297
54,Coração de Jesus,0.59832335814742
55,Cordisburgo,0.08770764657994848
56,Cordislândia,0.05810954258049322
57,Corinto,0.7617145263323569
58,Coromandel,2.5843117521971175
59,Coronel Murta,0.030808620836734035
60,Cristais,0.03515784443335394
61,Cristália,0.029787010620260748
62,Curvelo,0.5618488166589143
63,Cônego Marinho,0.09969322015973058
64,Delfim Moreira,0.03252344098002421
65,Delta,0.8069078417154845
66,Diamantina,2.0877594189413404
67,Douradoquara,0.05572589218478597
68,Elói Mendes,0.03430731347003389
69,Espinosa,0.2581818559688427
70,Estrela do Sul,1.787836146089109
71,Florestal,0.0331742892586362
72,Formiga,0.07150530355363896
73,Formoso,2.3324406599586167
74,Francisco Dumont,0.9549092325757887
75,Francisco Sá,1.2435240237433831
76,Frutal,1.6482598013300578
77,Gameleiras,2.938262929504785
78,Glaucilândia,0.41230254759699414
79,Grão Mogol,2.345067032670063
80,Guapé,0.01648318028047327
81,Guarda-Mor,3.5702266230593254
82,Guimarânia,0.25375087916471994
83,Ibiaí,0.6177671020690797
84,Ibiá,0.8680741093218826
85,Icaraí de Minas,0.19379304853324364
86,Inconfidentes,0.01300360941086574
87,Indianópolis,3.903673207184716
88,Inhaúma,0.024552745637666865
89,Inimutaba,0.060669233786243906
90,Iraí de Minas,0.028873550735253693
91,Itacarambi,5.360550208000613
92,Itajubá,0.04117485283169219
93,Itapagipe,2.958068204839652
94,Itapecerica,0.04240397673394108
95,Itapeva,0.0374337960079293
96,Ituiutaba,2.1638021044990965
97,Jaboticatubas,0.028210093112697707
98,Janaúba,4.580620759163764
99,Januária,1.9725042750308075
100,Japaraíba,0.039286339172042224
101,Japonvar,0.08815773916747224
102,Jaíba,7.414603472772039
103,Jequitaí,0.24362501399812778
104,Jesuânia,0.07802131086184536
105,Joaquim Felício,0.3464047716352166
106,João Pinheiro,6.4164114855027075
107,Juvenília,1.0202878403379847
108,Lagamar,0.06442703848537684
109,Lagoa Dourada,0.10229892843510602
110,Lagoa Formosa,0.03429854099134011
111,Lagoa Grande,2.31199900377947
112,Lagoa Santa,0.5085268162114798
113,Lagoa da Prata,0.03242152818582867
114,Lassance,2.382889200260193
115,Lima Duarte,0.16654972181322367
116,Limeira do Oeste,1.2751437377181507
117,Luislândia,0.10220243640987085
118,Luz,0.017774678416490275
119,Manga,1.8276565248958538
